GAcX= -0.09 | GAcY= 0.02 | GAcZ= -0.03
GAcX= -0.03 | GAcY= 0.02 | GAcZ= -0.02
GAcX= 0.01 | GAcY= 0.01 | GAcZ= -0.00
GAcX= 0.04 | GAcY= 0.00 | GAcZ= -0.01
GAcX= 0.06 | GAcY= 0.00 | GAcZ= -0.03
GAcX= 0.05 | GAcY= -0.00 | GAcZ= -0.03
GAcX= 0.04 | GAcY= -0.00 | GAcZ= -0.02
GAcX= 0.02 | GAcY= -0.01 | GAcZ= -0.01
GAcX= 0.00 | GAcY= -0.01 | GAcZ= -0.02
GAcX= -0.02 | GAcY= -0.00 | GAcZ= -0.03
GAcX= -0.03 | GAcY= -0.00 | GAcZ= -0.02
GAcX= -0.03 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.00 | GAcZ= 0.00
GAcX= 0.00 | GAcY= 0.00 | GAcZ= -0.01
GAcX= 0.02 | GAcY= 0.01 | GAcZ= 0.00
GAcX= 0.03 | GAcY= 0.01 | GAcZ= 0.00
GAcX= 0.03 | GAcY= 0.01 | GAcZ= 0.01
GAcX= 0.03 | GAcY= 0.01 | GAcZ= 0.01
GAcX= 0.02 | GAcY= 0.01 | GAcZ= -0.00
GAcX= 0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.03
GAcX= -0.02 | GAcY= 0.00 | GAcZ= -0.04
GAcX= -0.03 | GAcY= -0.00 | GAcZ= -0.04
GAcX= -0.04 | GAcY= 0.00 | GAcZ= -0.04
GAcX= -0.05 | GAcY= 0.00 | GAcZ= -0.05
GAcX= -0.04 | GAcY= 0.01 | GAcZ= -0.03
GAcX= -0.03 | GAcY= 0.01 | GAcZ= -0.03
GAcX= -0.02 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.00 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.00 | GAcZ= -0.01
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.01 | GAcY= -0.00 | GAcZ= -0.00
GAcX= 0.00 | GAcY= -0.00 | GAcZ= -0.00
GAcX= 0.01 | GAcY= -0.00 | GAcZ= 0.00
GAcX= 0.02 | GAcY= -0.01 | GAcZ= -0.00
GAcX= 0.03 | GAcY= -0.00 | GAcZ= -0.01
GAcX= 0.02 | GAcY= -0.01 | GAcZ= -0.01
GAcX= 0.02 | GAcY= -0.00 | GAcZ= -0.01
GAcX= 0.01 | GAcY= -0.01 | GAcZ= -0.01
GAcX= -0.00 | GAcY= -0.00 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.02 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.03 | GAcY= 0.00 | GAcZ= -0.03
GAcX= -0.03 | GAcY= 0.01 | GAcZ= -0.03
GAcX= -0.04 | GAcY= 0.00 | GAcZ= -0.04
GAcX= -0.03 | GAcY= 0.00 | GAcZ= -0.03
GAcX= -0.02 | GAcY= 0.00 | GAcZ= -0.04
GAcX= -0.02 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.02 | GAcY= 0.01 | GAcZ= -0.03
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.03
GAcX= -0.00 | GAcY= 0.01 | GAcZ= -0.03
GAcX= 0.00 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.00 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.01
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.03
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.03
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.00 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.00 | GAcZ= -0.01
GAcX= 0.00 | GAcY= -0.00 | GAcZ= -0.00
GAcX= 0.01 | GAcY= 0.01 | GAcZ= -0.01
GAcX= 0.01 | GAcY= 0.00 | GAcZ= -0.01
GAcX= 0.02 | GAcY= 0.00 | GAcZ= -0.01
GAcX= 0.02 | GAcY= -0.00 | GAcZ= -0.02
GAcX= 0.01 | GAcY= 0.00 | GAcZ= -0.01
GAcX= 0.01 | GAcY= 0.00 | GAcZ= -0.01
GAcX= -0.01 | GAcY= 0.00 | GAcZ= -0.03
GAcX= -0.02 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.02 | GAcY= -0.00 | GAcZ= -0.02
GAcX= -0.02 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.03 | GAcY= -0.00 | GAcZ= -0.03
GAcX= -0.03 | GAcY= 0.01 | GAcZ= -0.03
GAcX= -0.03 | GAcY= -0.00 | GAcZ= -0.03
GAcX= -0.02 | GAcY= -0.00 | GAcZ= -0.03
GAcX= -0.02 | GAcY= -0.00 | GAcZ= -0.03
GAcX= -0.01 | GAcY= 0.00 | GAcZ= -0.03
GAcX= -0.01 | GAcY= 0.00 | GAcZ= -0.03
GAcX= -0.01 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.01 | GAcY= -0.00 | GAcZ= -0.02
GAcX= -0.00 | GAcY= -0.00 | GAcZ= -0.02
GAcX= -0.00 | GAcY= 0.01 | GAcZ= -0.03
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.00 | GAcY= 0.00 | GAcZ= -0.01
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.00 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.00 | GAcY= 0.01 | GAcZ= -0.01
GAcX= -0.00 | GAcY= 0.00 | GAcZ= -0.02
GAcX= 0.01 | GAcY= 0.00 | GAcZ= -0.02
GAcX= 0.01 | GAcY= 0.01 | GAcZ= -0.02
GAcX= 0.01 | GAcY= 0.01 | GAcZ= -0.01
GAcX= 0.00 | GAcY= -0.01 | GAcZ= -0.01
GAcX= 0.00 | GAcY= 0.00 | GAcZ= -0.02
GAcX= 0.19 | GAcY= -0.03 | GAcZ= -1.66
GAcX= 0.22 | GAcY= 0.10 | GAcZ= -0.80
GAcX= 0.08 | GAcY= 0.12 | GAcZ= -0.08
GAcX= -0.87 | GAcY= -0.64 | GAcZ= 3.05
GAcX= -0.05 | GAcY= -1.16 | GAcZ= -4.94
GAcX= 0.67 | GAcY= -0.12 | GAcZ= -0.37
GAcX= -0.15 | GAcY= 0.18 | GAcZ= 1.12
GAcX= 0.12 | GAcY= -0.01 | GAcZ= -0.21
GAcX= 0.46 | GAcY= 0.02 | GAcZ= 0.24
GAcX= 0.10 | GAcY= -0.04 | GAcZ= 0.70
GAcX= -0.08 | GAcY= 0.02 | GAcZ= 0.32
GAcX= -0.19 | GAcY= -0.01 | GAcZ= -0.40
GAcX= 0.15 | GAcY= 0.03 | GAcZ= -0.43
GAcX= -0.20 | GAcY= 0.05 | GAcZ= -0.05
GAcX= -0.11 | GAcY= -0.06 | GAcZ= -0.19
GAcX= -0.22 | GAcY= -0.08 | GAcZ= 0.57
GAcX= 0.12 | GAcY= 0.01 | GAcZ= -0.06
GAcX= -0.03 | GAcY= 0.01 | GAcZ= 0.35
GAcX= 0.36 | GAcY= 0.00 | GAcZ= -0.20
GAcX= 0.12 | GAcY= -0.03 | GAcZ= 0.24
GAcX= 0.22 | GAcY= 0.02 | GAcZ= -0.01
GAcX= 0.08 | GAcY= 0.03 | GAcZ= -0.02
GAcX= -0.07 | GAcY= 0.03 | GAcZ= 0.08
GAcX= -0.09 | GAcY= -0.05 | GAcZ= -0.13
GAcX= -0.16 | GAcY= 0.03 | GAcZ= -0.16
GAcX= -0.15 | GAcY= 0.04 | GAcZ= -0.22
GAcX= -0.20 | GAcY= 0.00 | GAcZ= -0.19
GAcX= -0.36 | GAcY= -0.02 | GAcZ= -0.02
GAcX= -0.16 | GAcY= -0.00 | GAcZ= 0.09
GAcX= -0.12 | GAcY= 0.00 | GAcZ= 0.10
GAcX= 0.02 | GAcY= -0.03 | GAcZ= 0.11
GAcX= 0.14 | GAcY= -0.01 | GAcZ= 0.05
GAcX= 0.21 | GAcY= 0.01 | GAcZ= -0.03
GAcX= 0.21 | GAcY= 0.04 | GAcZ= 0.04
GAcX= 0.15 | GAcY= -0.00 | GAcZ= -0.03
GAcX= 0.09 | GAcY= -0.03 | GAcZ= -0.07
GAcX= 0.03 | GAcY= -0.02 | GAcZ= -0.09
GAcX= -0.06 | GAcY= 0.02 | GAcZ= -0.12
GAcX= -0.16 | GAcY= 0.01 | GAcZ= 0.02
GAcX= -0.12 | GAcY= 0.01 | GAcZ= -0.04
GAcX= -0.13 | GAcY= 0.02 | GAcZ= -0.00
GAcX= -0.13 | GAcY= 0.02 | GAcZ= -0.01
GAcX= -0.07 | GAcY= 0.01 | GAcZ= 0.05
GAcX= 0.02 | GAcY= 0.00 | GAcZ= 0.03
GAcX= 0.08 | GAcY= -0.00 | GAcZ= 0.02
GAcX= 0.13 | GAcY= 0.01 | GAcZ= -0.02
GAcX= 0.14 | GAcY= -0.01 | GAcZ= -0.01
GAcX= 0.12 | GAcY= -0.01 | GAcZ= 0.00
GAcX= 0.09 | GAcY= -0.02 | GAcZ= -0.04
GAcX= 0.05 | GAcY= -0.01 | GAcZ= -0.05
GAcX= -0.03 | GAcY= -0.00 | GAcZ= -0.06
GAcX= -0.09 | GAcY= 0.00 | GAcZ= -0.04
GAcX= -0.14 | GAcY= 0.01 | GAcZ= -0.04
GAcX= -0.13 | GAcY= 0.01 | GAcZ= -0.03
GAcX= -0.12 | GAcY= 0.02 | GAcZ= -0.07
GAcX= -0.09 | GAcY= 0.01 | GAcZ= -0.06
GAcX= -0.06 | GAcY= 0.01 | GAcZ= -0.03
GAcX= -0.00 | GAcY= 0.02 | GAcZ= 0.00
GAcX= 0.03 | GAcY= 0.01 | GAcZ= 0.00
GAcX= 0.05 | GAcY= 0.00 | GAcZ= -0.00
GAcX= 0.06 | GAcY= 0.01 | GAcZ= -0.02
GAcX= 0.05 | GAcY= -0.00 | GAcZ= -0.02
GAcX= 0.04 | GAcY= -0.00 | GAcZ= -0.00
GAcX= 0.01 | GAcY= -0.01 | GAcZ= -0.02
GAcX= -0.00 | GAcY= -0.01 | GAcZ= -0.03
GAcX= -0.03 | GAcY= -0.01 | GAcZ= -0.04
GAcX= -0.03 | GAcY= 0.00 | GAcZ= -0.03
GAcX= -0.03 | GAcY= -0.01 | GAcZ= -0.02
GAcX= -0.02 | GAcY= -0.00 | GAcZ= -0.01
GAcX= -0.00 | GAcY= 0.01 | GAcZ= -0.01
GAcX= 0.01 | GAcY= 0.00 | GAcZ= -0.01
GAcX= 0.02 | GAcY= 0.00 | GAcZ= 0.00
GAcX= 0.03 | GAcY= 0.01 | GAcZ= 0.01
GAcX= 0.03 | GAcY= 0.00 | GAcZ= -0.01
GAcX= 0.02 | GAcY= 0.00 | GAcZ= -0.00
GAcX= 0.00 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.01 | GAcY= -0.00 | GAcZ= -0.02
GAcX= -0.02 | GAcY= 0.00 | GAcZ= -0.03
GAcX= -0.03 | GAcY= -0.00 | GAcZ= -0.03
GAcX= -0.05 | GAcY= 0.00 | GAcZ= -0.04
GAcX= -0.05 | GAcY= 0.00 | GAcZ= -0.04
GAcX= -0.04 | GAcY= 0.00 | GAcZ= -0.03
GAcX= -0.04 | GAcY= 0.00 | GAcZ= -0.03
GAcX= -0.02 | GAcY= 0.00 | GAcZ= -0.03
GAcX= -0.01 | GAcY= 0.00 | GAcZ= -0.01
GAcX= 0.00 | GAcY= 0.01 | GAcZ= -0.02
GAcX= 0.01 | GAcY= 0.02 | GAcZ= -0.01
GAcX= 0.00 | GAcY= 0.01 | GAcZ= -0.01
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.01
GAcX= -0.00 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.02 | GAcY= 0.01 | GAcZ= -0.02
GAcX= -0.02 | GAcY= 0.00 | GAcZ= -0.03
GAcX= -0.01 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.01 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.00 | GAcY= 0.00 | GAcZ= -0.01
GAcX= 0.01 | GAcY= 0.00 | GAcZ= -0.02
GAcX= 0.02 | GAcY= -0.00 | GAcZ= -0.01
GAcX= 0.02 | GAcY= -0.00 | GAcZ= -0.01
GAcX= 0.02 | GAcY= -0.00 | GAcZ= -0.00
GAcX= 0.02 | GAcY= -0.01 | GAcZ= -0.01
GAcX= 0.01 | GAcY= -0.00 | GAcZ= -0.01
GAcX= -0.00 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.01 | GAcY= -0.00 | GAcZ= -0.02
GAcX= -0.03 | GAcY= 0.00 | GAcZ= -0.03
GAcX= -0.03 | GAcY= -0.00 | GAcZ= -0.03
